id,coord_x,coord_y,depth,clay,silt,sand
ctb0797-RS-150,-52.15278,-28.90167,32.5,46,45,9
ctb0797-RS-151,-51.28528,-29.20444,13.5,46,38,16
ctb0797-RS-151,-51.28528,-29.20444,38.5,54,32,14
ctb0797-RS-153,-51.44222,-29.25194,12.5,42,44,14
ctb0797-RS-153,-51.44222,-29.25194,37.5,35,44,21
ctb0797-RS-154,-51.48528,-29.29917,12.5,31,39,30
ctb0797-RS-154,-51.48528,-29.29917,37.5,41,34,25
ctb0797-RS-155,-57.07444,-29.84028,7.5,17,28,55
ctb0797-RS-157,-53.53306,-30.28417,14,32,39,29
ctb0797-RS-157,-53.53306,-30.28417,39,75,17,8
ctb0797-RS-158,-54.84278,-31.19583,12.5,43,42,15
ctb0797-RS-158,-54.84278,-31.19583,40,45,41,14
ctb0797-RS-160,-53.54486,-30.25947,17.5,22,19,59
ctb0797-RS-161,-50.03225,-29.5453,15,6,4,90
ctb0797-RS-161,-50.03225,-29.5453,122.5,9,3,88
ctb0797-RS-162,-49.96306,-29.63111,10,8,13,79
ctb0797-RS-162,-49.96306,-29.63111,50,2,1,97
ctb0797-RS-163,-50.06944,-29.77639,10,71,28,1
ctb0797-RS-163,-50.06944,-29.77639,29,79,19,2
ctb0797-RS-164,-50.70418,-30.10332,5,8,5,87
ctb0797-RS-164,-50.70418,-30.10332,50,6,1,93
ctb0797-RS-166,-51.136,-29.86144,8,18,28,54
ctb0797-RS-166,-51.136,-29.86144,25.5,25,25,50
ctb0797-RS-42,-55.06694,-29.03639,5,23,53,24
ctb0797-RS-42,-55.06694,-29.03639,30,28,43,29
ctb0797-RS-43,-55.86528,-28.695,7.5,49,41,10
ctb0797-RS-43,-55.86528,-28.695,27.5,55,37,8
ctb0797-RS-45,-56.09944,-28.75028,7.5,41,52,7
ctb0797-RS-45,-56.09944,-28.75028,22.5,53,40,7
ctb0797-RS-45,-56.09944,-28.75028,57.5,57,36,7
ctb0797-RS-48,-49.96722,-28.7925,10,22,35,43
ctb0797-RS-48,-49.96722,-28.7925,35,27,15,58
ctb0797-RS-94,-54.31469,-29.9409,14,19,17,64
ctb0797-RS-94,-54.31469,-29.9409,35,29,20,51
ctb0797-RS-95,-54.49111,-30.25889,14,37,42,21
ctb0797-RS-95,-54.49111,-30.25889,36.5,51,39,10
ctb0797-RS-98,-54.08056,-30.63861,13,25,40,35
ctb0797-RS-98,-54.08056,-30.63861,39.5,24,37,39
ctb0797-RS-I,-51.68222,-30.12389,10,31,22,47
ctb0797-RS-I,-51.68222,-30.12389,31,48,23,29
ctb0799-1,-40.68431,-9.447994,6.5,4,17,79
ctb0799-1,-40.68431,-9.447994,21.5,9,11,80
ctb0799-1,-40.68431,-9.447994,52.5,13,12,75
ctb0799-10,-39.69724,-8.767962,5,16,20,64
ctb0799-10,-39.69724,-8.767962,25,13,18,69
ctb0799-11,-39.70326,-8.694618,12.5,7,41,52
ctb0799-11,-39.70326,-8.694618,40,18,35,47
ctb0799-12,-39.70819,-8.757794,12.5,10,39,51
ctb0799-12,-39.70819,-8.757794,40,39,24,37
ctb0799-13,-39.81005,-8.80026,10,6,32,62
ctb0799-13,-39.81005,-8.80026,27.5,4,19,77
ctb0799-14,-39.84453,-8.802627,10,22,46,32
ctb0799-14,-39.84453,-8.802627,27.5,53,9,38
ctb0799-15,-39.87566,-8.790916,7.5,8,15,77
ctb0799-15,-39.87566,-8.790916,22.5,17,15,68
ctb0799-15,-39.87566,-8.790916,40,20,15,65
ctb0799-16,-39.92186,-8.842854,10,3,6,91
ctb0799-16,-39.92186,-8.842854,30,2,4,94
ctb0799-17,-39.88652,-8.919,7.5,1,7,92
ctb0799-17,-39.88652,-8.919,35,2,6,92
ctb0799-18,-39.91241,-8.962602,7.5,2,22,76
ctb0799-18,-39.91241,-8.962602,21,3,15,82
ctb0799-18,-39.91241,-8.962602,43.5,31,16,53
ctb0799-19,-39.92605,-8.972408,10,4,7,89
ctb0799-19,-39.92605,-8.972408,27.5,6,8,86
ctb0799-20,-39.93763,-8.978927,7.5,5,18,77
ctb0799-20,-39.93763,-8.978927,22.5,3,10,87
ctb0799-20,-39.93763,-8.978927,50,6,8,86
ctb0799-21,-39.88866,-8.817122,7.5,16,39,45
ctb0799-21,-39.88866,-8.817122,22.5,24,33,43
ctb0799-21,-39.88866,-8.817122,50,44,26,30
ctb0799-22,-39.99543,-9.013106,7.5,7,18,75
ctb0799-22,-39.99543,-9.013106,20,9,17,74
ctb0799-22,-39.99543,-9.013106,42.5,12,16,72
ctb0799-23,-40.04791,-9.041465,7.5,1,7,92
ctb0799-24,-40.10461,-9.066422,7.5,2,18,80
